entry_ref,unit,entry_date,entry_type,description,amount
CH-247808,Suite 210,2026-07-01,charge,Base rent July 2026,3225.00
CH-245866,Suite 210,2026-07-01,charge,CAM estimate July 2026,438.75
PM-249558,Suite 210,2026-07-03,payment,Payment - thank you (ACH),-3663.75
CH-243578,Suite 210,2026-07-14,charge,Electric submeter reimbursement June,190.96
PM-248268,Suite 210,2026-07-22,payment,Payment - thank you (check 3318),-190.96
CH-242281,Suite 210,2026-08-01,charge,Base rent August 2026,3225.00
CH-244617,Suite 210,2026-08-01,charge,CAM estimate August 2026,438.75
LF-242289,Suite 210,2026-08-06,late_fee,Late fee - rent received after the 5th,161.25
PM-241553,Suite 210,2026-08-09,payment,Payment - thank you (ACH),-3663.75
CH-244104,Suite 210,2026-08-14,charge,Electric submeter reimbursement July,134.85
PM-248725,Suite 210,2026-08-21,payment,Payment - thank you (check 3342),-134.85
CH-249861,Suite 210,2026-09-01,charge,Base rent September 2026,3225.00
CH-242407,Suite 210,2026-09-01,charge,CAM estimate September 2026,438.75
PM-245081,Suite 210,2026-09-02,payment,Payment - thank you (ACH),-3663.75
CR-241618,Suite 210,2026-09-10,credit,Late fee waived - August,-161.25
CH-241208,Suite 210,2026-09-14,charge,Electric submeter reimbursement August,185.43
PM-245409,Suite 210,2026-09-19,payment,Payment - thank you (check 3367),-185.43
5539171,Storage B-4,2026-07-01,charge,Monthly rent - July,165.00
5535796,Storage B-4,2026-08-01,charge,Monthly rent - August,165.00
5535180,Storage B-4,2026-08-12,charge,Gate access card replacement,25.00
5533350,Storage B-4,2026-09-01,charge,Monthly rent - September,165.00
5537815,Storage B-4,2026-09-05,late_fee,Late charge - unpaid balance,15.00
5537253,Storage B-4,2026-09-08,payment,Payment received - card,-40.00
