tag,description,monthly,accumulated_2025_12_31,depreciation_2026,accumulated_2026_12_31,book_value,gain_loss
FA-106,Rooftop HVAC unit (leasehold improvement),126.80,5072.00,1521.60,6593.60,16230.40,
FA-128,Heidelberg Speedmaster SM 52 two-color offset press,447.31,27285.91,5367.72,32653.63,26673.57,
FA-134,Mailing inserter and folder-sealer,203.09,0.00,0.00,0.00,17059.56,
FA-146,2021 Ford Transit Connect delivery van,353.42,14136.80,2473.94,16610.74,10344.46,2505.54
FA-150,Polar 66 guillotine paper cutter,254.51,15525.11,3054.12,18579.23,3899.61,
FA-152,MBO K70 buckle folder,179.22,7348.02,2150.64,9498.66,5555.82,
FA-154,Prepress workstation and RIP server,260.73,8082.63,1303.65,9386.28,0.00,
FA-162,Front counter POS terminals and office PCs,130.07,1040.56,1560.84,2601.40,2081.12,
FA-163,Konica Minolta AccurioPress C4080 digital press,695.75,22959.75,8349.00,31308.75,13086.25,
FA-166,Epson SureColor wide-format printer,224.90,1574.30,2698.80,4273.10,9220.90,
FA-175,GBC Catena roll laminator,130.48,0.00,1174.32,1174.32,6654.48,
FA-198,2026 Ford Transit 250 cargo van,677.69,0.00,4066.14,4066.14,46195.26,
