Token,Item Name,Variation Name,SKU,Description,Category,Price,Option Name 1,Option Value 1,New Quantity Granite Peak Outfitters
,Beanie - Rust,Regular,BN0500,,Accessories,28.00,,,0
,Camp Moc,10,CM2100-10,,Footwear,74.00,Size,10,0
,Camp Moc,8,CM2100-8,,Footwear,74.00,Size,8,0
,Camp Moc,9,CM2100-9,,Footwear,74.00,Size,9,10
,Camp Stove,Regular,CS0100,,Camp & Kitchen,89.00,,,6
,Dry Bag 20L,Regular,DB0020,,Accessories,29.00,,,2
,Down Vest - Black,L,DV3150-L,,Jackets & Outerwear,159.00,Size,L,2
,Down Vest - Black,M,DV3150-M,,Jackets & Outerwear,159.00,Size,M,10
,Down Vest - Black,S,DV3150-S,,Jackets & Outerwear,159.00,Size,S,3
,Down Vest - Black,XL,DV3150-XL,,Jackets & Outerwear,159.00,Size,XL,4
,Down Vest - Black,XXL,DV3150-XXL,,Jackets & Outerwear,159.00,Size,XXL,2
,Headlamp 300lm,Regular,HL0300,,Accessories,45.00,,,0
,Merino Crew - Charcoal,L,MC1200-L,,Base Layers,99.00,Size,L,1
,Merino Crew - Charcoal,M,MC1200-M,,Base Layers,99.00,Size,M,4
,Merino Crew - Charcoal,S,MC1200-S,,Base Layers,99.00,Size,S,2
,Merino Crew - Charcoal,XL,MC1200-XL,,Base Layers,99.00,Size,XL,1
,Merino Leggings - Black,L,ML1210-L,,Base Layers,84.00,Size,L,5
,Merino Leggings - Black,M,ML1210-M,,Base Layers,84.00,Size,M,1
,Merino Leggings - Black,S,ML1210-S,,Base Layers,84.00,Size,S,10
,Merino Leggings - Black,XS,ML1210-XS,,Base Layers,84.00,Size,XS,8
,Map Case,Regular,MP0001,,Accessories,24.00,,,8
,Ridge Hiking Boot,10,RB2200-10,,Footwear,199.00,Size,10,8
,Ridge Hiking Boot,11,RB2200-11,,Footwear,199.00,Size,11,10
,Ridge Hiking Boot,8,RB2200-8,,Footwear,199.00,Size,8,3
,Ridge Hiking Boot,9,RB2200-9,,Footwear,199.00,Size,9,0
,Ridge Hiking Boot,9.5,RB2200-9.5,,Footwear,199.00,Size,9.5,8
,Rain Shell - Ember,L,RS2090-L,,Jackets & Outerwear,179.00,Size,L,4
,Rain Shell - Ember,M,RS2090-M,,Jackets & Outerwear,179.00,Size,M,12
,Rain Shell - Ember,XL,RS2090-XL,,Jackets & Outerwear,179.00,Size,XL,10
,Trail Jacket - Slate,L,TJ4410-L,,Jackets & Outerwear,124.00,Size,L,4
,Trail Jacket - Slate,M,TJ4410-M,,Jackets & Outerwear,124.00,Size,M,0
,Trail Jacket - Slate,S,TJ4410-S,,Jackets & Outerwear,124.00,Size,S,6
,Trail Jacket - Slate,XL,TJ4410-XL,,Jackets & Outerwear,124.00,Size,XL,10
,Trail Jacket - Moss,L,TJ4411-L,,Jackets & Outerwear,124.00,Size,L,5
,Trail Jacket - Moss,M,TJ4411-M,,Jackets & Outerwear,124.00,Size,M,8
,Trail Jacket - Moss,S,TJ4411-S,,Jackets & Outerwear,124.00,Size,S,4
,Trail Jacket - Moss,XS,TJ4411-XS,,Jackets & Outerwear,124.00,Size,XS,6
,Trekking Pole Pair,Regular,TK0200,,Accessories,89.00,,,3
,Titanium Pot 900ml,Regular,TP0900,,Camp & Kitchen,54.00,,,12
,Water Bottle 1L,Regular,WB0010,,Camp & Kitchen,27.00,,,5
,Wool Sock 3pk,Regular,WS0300,,Base Layers,19.00,,,5
