Item #,Description,Category,UOM,Unit Cost,Preferred Supplier
02367,Backpack vacuum 6qt,Equipment,Each,$389.00,Gold Country Equipment
08421,Squeegee blade set 20in,Equipment,Set,42.80,Gold Country Equipment
25690,Lobby dust pan with broom,Janitorial Tools,Each,19.60,Truckee Janitorial Wholesale
16408,Pressure washer electric 2000psi,Equipment,Each,$649.00,Gold Country Equipment
49582,Trash receptacle 32 gal gray,Janitorial Tools,Each,38.90,Truckee Janitorial Wholesale
14000,Enzyme drain treatment 4x1 gal,Chemicals,Case,$71.40,Valley Chemical Supply
04858,Dinner napkin 1/8 fold 3000/cs,Paper Goods,Case,44.10,Pacific Paper Co
09752,Glass cleaner ready-to-use 12x32oz,Chemicals,Case,28.40,Valley Chemical Supply
64352,Jumbo toilet tissue 9in 12/cs,paper goods,Case,$36.40,Pacific Paper Co
02499,Floor finish 25% solids 5 gal,Chemicals,Pail,118.00,Valley Chemical Supply
64084,Dispenser napkin 6000/cs,Paper Goods,Case,41.20,Pacific Paper Co
55830,Odor neutralizer 12x15oz,Chemicals,Case,$39.50,Valley Chemical Supply
30410,Clamshell container 9x9 200/cs,Disposables,Case,47.60,WestPak Disposables
12580,Graffiti remover 12x16oz,Chemicals,Case,88.60,Valley Chemical Supply
20368,Latex gloves M 10x100,Gloves,Case,61.20,Delta Glove & Safety
50671,Carpet extraction cleaner 4x1 gal,Chemicals,Case,52.10,Valley Chemical Supply
24337,Neutral floor cleaner 4x1 gal,Chemicals,Case,46.80,Valley Chemical Supply
09071,Kitchen roll towel 30/85,Paper Goods,Case,33.90,Pacific Paper Co
21172,Compostable bag 33 gal 150/cs,Can Liners,Case,68.90,Summit Poly
18553,Upright vacuum 14in commercial,Equipment,Each,$264.00,Gold Country Equipment
55889 ,WIPER ROLL BLUE 4/CS,Paper Goods,Case,58.25,Pacific Paper Co
18534 ,C-FOLD PAPER TOWELS 12/150,Paper Goods,Case,34.20,Pacific Paper Co
10099,Upright angle broom,Janitorial Tools,Each,11.80,Truckee Janitorial Wholesale
04252,Air mover 3-speed,Equipment,Each,158.00,Gold Country Equipment
64322,Mop bucket with wringer 35qt,Janitorial Tools,Each,124.00,Truckee Janitorial Wholesale
35470,Deli container 32oz 240/cs,Disposables,Case,52.90,WestPak Disposables
24337,Neutral floor cleaner 4x1 gal,Chemicals,Case,46.80,Valley Chemical Supply
15886,Multifold paper towels 16/250,Paper Goods,Case,$38.50,Pacific Paper Co
26988,Grill brick 12/cs,Janitorial Tools,Case,26.40,Truckee Janitorial Wholesale
03397,Contractor bag 42 gal 3mil 32/cs,Can Liners,Case,38.90,Summit Poly
31254,Can liner 33x40 1.2mil 250/cs,Can Liners,Case,32.40,Summit Poly
28866,Aluminum pan full size 50/cs,Disposables,Case,63.70,WestPak Disposables
20857,Stainless scrubber 12/pk,janitorial tools,Pack,11.90,Truckee Janitorial Wholesale
68862,Center-pull towel 6/600,Paper Goods,Case,39.90,Pacific Paper Co
15182,Heavy cutlery knife 1000/cs,Disposables,Case,26.30,WestPak Disposables
17605,Floor stripper 5 gal,Chemicals,Pail,96.50,Valley Chemical Supply
12994,Cutlery kit fork-knife-napkin 250/cs,Disposables,Case,29.40,WestPak Disposables
48684,Pizza box 16in 50/bundle,Disposables,Bundle,27.80,WestPak Disposables
17681,Cut resistant gloves L 12 pair,Gloves,Dozen,96.00,Delta Glove & Safety
63471,Recycling liner clear 40x46 250/cs,CAN LINERS,Case,34.30,Summit Poly
01354,Dish detergent manual 4x1 gal,Chemicals,Case,38.70,Valley Chemical Supply
06340,Foam soap dispenser 1000ml,Janitorial Tools,Each,$21.30,Truckee Janitorial Wholesale
11493,Hand sanitizer gel 4x1000ml,Chemicals,Case,49.90,Valley Chemical Supply
02000,Foaming hand soap 6x1000ml,Chemicals,Case,64.80,Valley Chemical Supply
67371,Toilet bowl brush with caddy,Janitorial Tools,Each,7.40,Truckee Janitorial Wholesale
14000,Enzyme drain treatment 4x1 gal,Chemicals,Case,$71.40,Valley Chemical Supply
08342,Microfiber cloths 16x16 12/pk,Janitorial Tools,Pack,9.80,Truckee Janitorial Wholesale
47990,Toilet seat covers 20/250,Paper Goods,Case,$31.60,Pacific Paper Co
55782,Push broom 24in,Janitorial Tools,Each,20.00,Truckee Janitorial Wholesale
31972,Can liner 40x46 16mic 250/cs,Can Liners,Case,27.60,Summit Poly
61991,Can liner 24x33 0.6mil 1000/cs,CAN LINERS,Case,24.80,Summit Poly
47745,Bathroom cleaner acid 12x32oz,Chemicals,Case,36.90,Valley Chemical Supply
55889,Wiper roll blue 4/cs,Paper Goods,Case,58.25,Pacific Paper Co
41879,Can liner 38x58 1.5mil 100/cs,Can Liners,Case,29.90,Summit Poly
67331,Straw wrapped jumbo 12x250,disposables,Case,19.80,WestPak Disposables
05258,Oven and grill cleaner 12x32oz,Chemicals,Case,41.30,Valley Chemical Supply
28348,Hand dryer high speed,Equipment,Each,$438.00,Gold Country Equipment
