Invoice,Date,Vehicle,Shop,Work performed,Parts,Labor,Tax,Invoice total
W21827,2026-01-06,Truck 27,Burlington Ford,Check engine light - O2 sensor,226.71,230.61,13.60,$470.92
W21854,2026-01-12,Van 21,Champlain Fleet Service,Alignment,63.03,43.21,3.78,$110.02
W21892,2026-01-19,Van 24,Firestone Complete Auto Care #0551,Rear leaf spring shackles,312.84,266.83,18.77,$598.44
W21931,2026-01-29,EMK281,Green Mountain Truck & Diesel,State inspection,27.55,22.16,1.65,$51.36
W21949,2026-02-02,Van 24,Green Mountain Truck & Diesel,State inspection,18.81,20.41,1.13,$40.35
W21980,2026-02-10,Van 21,Champlain Fleet Service,Ladder rack repair,176.68,98.80,10.60,$286.08
W22003,2026-02-10,YZW403,Champlain Fleet Service,Alignment,56.38,56.17,3.38,$115.93
W22016,2026-02-12,Van 25,Burlington Ford,Wiper blades and fluids,38.94,23.79,2.34,$65.07
W22056,2026-02-13,PBJ623,Firestone Complete Auto Care #0551,State inspection,26.18,15.72,1.57,$43.47
W22096,2026-02-18,PBJ623,Firestone Complete Auto Care #0551,Ladder rack repair,103.55,122.73,6.21,$232.49
W22117,2026-02-18,VAN 24,Green Mountain Truck & Diesel,Wiper blades and fluids,31.60,25.79,1.90,$59.29
W22143,2026-02-19,TRUCK 27,Green Mountain Truck & Diesel,Check engine light - O2 sensor,122.17,124.97,7.33,$254.47
W22147,2026-02-23,Truck 28,Firestone Complete Auto Care #0551,Alignment,80.06,73.04,4.80,$157.90
W22161,2026-02-23,FEG268,Green Mountain Truck & Diesel,Oil and filter change,93.43,69.66,5.61,$168.70
W22184,2026-02-25,YZW403,Green Mountain Truck & Diesel,State inspection,14.73,23.81,0.88,$39.42
W22201,2026-02-26,Van 26,Champlain Fleet Service,Tire rotation and balance,34.31,44.30,2.06,$80.67
W22215,2026-03-02,Van 24,Burlington Ford,Tire rotation and balance,26.94,30.97,1.62,$59.53
W22221,2026-03-09,TRUCK 27,Firestone Complete Auto Care #0551,State inspection,23.91,22.71,1.43,$48.05
W22229,2026-03-09,Van 24,Burlington Ford,Front brake pads and rotors,402.11,249.72,24.13,$675.96
W22263,2026-03-09,VAN 26,Champlain Fleet Service,Serpentine belt,119.73,84.90,7.18,$211.81
W22271,2026-03-11,Truck 28,Champlain Fleet Service,Serpentine belt,91.50,74.70,5.49,$171.69
W22299,2026-03-11,Van 21,Burlington Ford,Front brake pads and rotors,416.03,214.98,24.96,$655.97
W22336,2026-03-11,SYG633,Green Mountain Truck & Diesel,Alignment,63.54,54.48,3.81,$121.83
W22339,2026-03-31,Van 23,Firestone Complete Auto Care #0551,Tires - set of 4 LT245/75R16,491.31,353.82,29.48,$874.61
W22350,2026-04-07,Van 23,Burlington Ford,Rear leaf spring shackles,288.21,332.69,17.29,$638.19
W22359,2026-04-09,Truck 28,Green Mountain Truck & Diesel,Alignment,46.03,68.03,2.76,$116.82
W22388,2026-04-10,Van 24,Champlain Fleet Service,"Pre-sale repairs - exhaust leak, detail",363.21,202.51,21.79,$587.51
W22424,2026-04-13,Truck 27,Burlington Ford,State inspection,17.07,23.16,1.02,$41.25
W22442,2026-04-13,Van 23,Burlington Ford,Alignment,39.39,53.58,2.36,$95.33
W22474,2026-04-15,YZW403,Firestone Complete Auto Care #0551,Battery replacement,143.75,131.98,8.62,$284.35
W22503,2026-04-20,VAN 26,Green Mountain Truck & Diesel,Battery replacement,130.98,111.98,7.86,$250.82
W22523,2026-04-21,Truck 27,Firestone Complete Auto Care #0551,Rear leaf spring shackles,338.69,199.43,20.32,$558.44
W22541,2026-04-27,Truck 28,Burlington Ford,Battery replacement,116.22,133.74,6.97,$256.93
W22564,2026-04-27,Van 25,Burlington Ford,Check engine light - O2 sensor,181.52,125.63,10.89,$318.04
W22585,2026-04-27,Van 29,Firestone Complete Auto Care #0551,Oil and filter change,85.53,41.99,5.13,$132.65
W22601,2026-05-06,YZW403,Champlain Fleet Service,Alignment,66.39,64.06,3.98,$134.43
W22639,2026-05-21,VAN 29,Firestone Complete Auto Care #0551,Oil and filter change,65.27,48.68,3.92,$117.87
W22653,2026-05-27,TRUCK 28,Green Mountain Truck & Diesel,Tire rotation and balance,30.56,39.62,1.83,$72.01
W22671,2026-05-28,Van 26,Green Mountain Truck & Diesel,Alignment,72.10,74.56,4.33,$150.99
W22705,2026-06-01,VAN 25,Burlington Ford,Tires - set of 4 LT245/75R16,604.33,532.58,36.26,"$1,173.17"
W22715,2026-06-02,Van 21,Champlain Fleet Service,State inspection,18.44,25.67,1.11,$45.22
W22730,2026-06-04,Truck 28,Firestone Complete Auto Care #0551,Oil and filter change,79.24,79.58,4.75,$163.57
W22755,2026-06-12,Van 29,Firestone Complete Auto Care #0551,Check engine light - O2 sensor,162.85,238.01,9.77,$410.63
W22759,2026-06-16,Truck 27,Green Mountain Truck & Diesel,Wiper blades and fluids,34.47,17.81,2.07,$54.35
W22771,2026-06-19,Van 26,Green Mountain Truck & Diesel,Battery replacement,96.67,128.66,5.80,$231.13
W22785,2026-06-23,YZW403,Firestone Complete Auto Care #0551,Serpentine belt,128.58,104.68,7.71,$240.97
W22814,2026-06-23,YZW403,Champlain Fleet Service,Serpentine belt,72.23,57.26,4.33,$133.82
W22821,2026-06-23,SYG633,Burlington Ford,Serpentine belt,90.12,127.87,5.41,$223.40
W22846,2026-06-23,Van 30,Burlington Ford,Ladder rack repair,112.01,156.16,6.72,$274.89
