Account,Website,Industry,City,State,Owner,Annual Revenue,Created,Notes
Westbridge Community Bank,https://www.westbridgebank.com/,Financial,Olympia,WA,Leila Haddad,4200000,01-Sep-2023,
Whitlock Aerospace Components,whitlockaero.com,Aerospace,Tacoma,WA,Tomasz Nowak,"$22,000,000","August 23, 2024",Budget resets in January
Norwich Tool & Die,www.norwichtool.com,Manufacturing,Vancouver,WA,Tomasz Nowak,"40,000,000",2024-03-28,Met at trade show
Kettleridge Brewing,kettleridgebrew.com,Food & Beverage,Medford,OR,Leila Haddad,"$800,000",08-Feb-2023,Met at trade show
Mosaic Staffing,www.mosaicstaffing.com,Professional Services,Bend,OR,Leila Haddad,40000000,Jun 24 2023,
Cairn Health Partners,www.cairnhealth.org,Healthcare,Olympia,WA,Rahul Patel,"$2,500,000",11/19/23,Slow to pay - net 60
Evergreen Credit Union,evergreencu.org,Financial,Bellevue,WA,Tomasz Nowak,"$800,000",09-Mar-2024,Met at trade show
Larkfield Printing,larkfieldprint.com,Print,Olympia,WA,Tomasz Nowak,"$22,000,000",02/16/25,Decision maker is the COO
Ashgrove Manufacturing,https://ashgrovemfg.com,Manufacturing,Spokane,WA,Leila Haddad,9500000,21-Apr-2023,Met at trade show
Wolfcreek Outdoor Co.,https://www.wolfcreekoutdoor.com/,Retail,Vancouver,WA,Rahul Patel,"1,200,000",2024-11-23,
Silverbrook Pharmacy Network,www.silverbrookrx.com,Healthcare,Vancouver,WA,Rahul Patel,,2025-03-20,
Dunmore Hospitality,https://www.dunmorehotels.com/,Hospitality,Boise,ID,Tomasz Nowak,,01/13/2023,Decision maker is the COO
Goldleaf Tea Importers,https://www.goldleaftea.com/,Food & Beverage,Bellevue,WA,Tomasz Nowak,"2,500,000",09/06/2023,Board approves over 50k
Lindenwood Assisted Living,www.lindenwoodal.com,Healthcare,Bend,OR,Rahul Patel,"$15,000,000",01-Oct-2023,Prefers email
ZENITH PRECISION OPTICS,WWW.ZENITHOPTICS.COM,Manufacturing,Medford,OR,Tomasz Nowak,,2024-07-10,Renewal each October
Millbrook Orthopedics,https://www.millbrookortho.com/,Healthcare,Seattle,WA,Rahul Patel,"9,500,000",03/15/2024,Renewal each October
Trailhead Bicycles,,Retail,Tacoma,WA,Leila Haddad,40000000,Dec 10 2025,Decision maker is the COO
Northwind Energy Cooperative,northwindenergy.coop,Energy,Spokane,WA,Tomasz Nowak,800000,2023-08-02,Referred by a client
