Client Code,Client,Billing Contact,Billing Email,Terms,Status,Engagement Lead,Notes
C-0321,Highfield Robotics,Aisha Collins,acollins@highfieldrobotics.com,Net 15,Active,Eleanor Voss,
C-0348,Redstone Property Group,Rebecca Harris,rharris@redstoneproperty.com,net 30,Active,Daniel Reyes,
C-0588,Evergreen Credit Union,Melissa Castillo,mcastillo@evergreencredit.com,Net 15,Active,Eleanor Voss,
C-0824,Palmetto Hill Advisors,John Cox,jcox@palmettohill.com,NET 45,Active,Eleanor Voss,
C-0963,Granite State Tooling,Yuki Lopez,ylopez@granitestate.com,NET 45,Active,Graham Achebe,
C-0621,Dunmore Hospitality,Leila Osei,losei@dunmorehospitality.com,Net 15,Inactive,Eleanor Voss,
C-0796,Junebug Software,Donald Miller,dmiller@junebugsoftware.com,Net 15,Inactive,Daniel Reyes,
C-0398,Wexford Steelworks,Rebecca Green,rgreen@wexfordsteelworks.com,NET 45,Active,Eleanor Voss,
C-0635,Driftwood Home Goods,Kenneth Adams,kadams@driftwoodhome.com,Net 30,Active,Sofia Lindqvist,
C-0292,Moorland Outdoor Supply,Steven Moore,smoore@moorlandoutdoor.com,Net 30,Active,Nadia Okafor,
C-0728,Larkfield Printing,Kenneth Campbell,kcampbell@larkfieldprinting.com,NET 45,Active,Marcus Iyer,
C-0383,Tidewater Packaging,Amy Brooks,abrooks@tidewaterpackaging.com,Net 30,Active,Daniel Reyes,
C-0946,Cairnfield Health Partners,Jonathan Kim,jkim@cairnfieldhealth.com,Net 45,Active,Marcus Iyer,
C-0702,Marlow & Finch LLP,Karen Bailey,kbailey@marlowfinch.com,Net 30,Active,Nadia Okafor,
C-0690,Pinecrest Schools Trust,John Murphy,jmurphy@pinecrestschools.com,net 30,Active,Eleanor Voss,
C-0428,Ellery Textiles,Rebecca Howard,rhoward@ellerytextiles.com,NET 45,Active,Daniel Reyes,
C-0950,Ironbark Construction,Mark King,mking@ironbarkconstruction.com,Net 30,Active,Eleanor Voss,
C-0171,Sagebrush Irrigation,Jennifer Wright,jwright@sagebrushirrigation.com,Net 30,Active,Nadia Okafor,
C-0194,Fennimore Auto Group,Thomas Castillo,tcastillo@fennimoreauto.com,net 30,Active,Daniel Reyes,
C-0773,Blackmoor Quarry Co,Yuki Parker,yparker@blackmoorquarry.com,net 30,Active,Sofia Lindqvist,
C-0932,Amberleigh Care Homes,Karen Carter,kcarter@amberleighcare.com,Net 45,Inactive,Eleanor Voss,
C-0800,Hawthorne Medical Supply,David Price,dprice@hawthornemedical.com,NET 45,Active,Graham Achebe,
C-0212,Inlet Seafood Distributors,Paul Anderson,panderson@inletseafood.com,Net 30,Active,Nadia Okafor,
C-0495,Quillon Legal Services,Carlos Turner,cturner@quillonlegal.com,Net 30,Active,Nadia Okafor,
C-0254,Isleworth Book Distributors,Jessica Morris,jmorris@isleworthbook.com,Net 30,Active,Nadia Okafor,
C-0192,Clearspring Water Authority,Ronald Peterson,rpeterson@clearspringwater.com,net 30,Inactive,Daniel Reyes,
C-0970,Glenmoor Title & Escrow,Mary Okafor,mokafor@glenmoortitle.com,Net 30,Active,Graham Achebe,
C-0665,Kittering Dairy Cooperative,Jennifer Kelly,jkelly@kitteringdairy.com,NET 45,Active,Graham Achebe,
C-0140,Orchard Lane Grocers,Kevin Long,klong@orchardlane.com,Net 15,Inactive,Marcus Iyer,
C-0876,Newcastle Freight Brokers,Elizabeth Hill,ehill@newcastlefreight.com,net 30,Active,Eleanor Voss,
C-0602,Zenith Precision Optics,Gary Ramos,gramos@zenithprecision.com,Net 30,Active,Daniel Reyes,
C-0935,Delta Ridge Foods,Luis Gonzalez,lgonzalez@deltaridge.com,Net 30,Active,Daniel Reyes,
C-0704,Quarterdeck Marine,Fatima Lopez,flopez@quarterdeckmarine.com,Net 30,Active,Nadia Okafor,
C-0817,Silverbrook Pharmacy Network,Donna Edwards,dedwards@silverbrookpharmacy.com,Net 30,Active,Nadia Okafor,
C-0367,Vantage Fleet Solutions,Donna Johnson,djohnson@vantagefleet.com,Net 30,Active,Nadia Okafor,
C-0399,Yarrow Organics,Ingrid Kelly,ikelly@yarroworganics.com,Net 30,Active,Eleanor Voss,
C-728,LARKFIELD PRINTING ,,KCAMPBELL@LARKFIELDPRINTING.COM,NET 45,Active,Marcus Iyer,re-keyed from old billing system
C-0134,Emberly Candle Works,Robert Garcia,rgarcia@emberlycandle.com,Net 30,Active,Sofia Lindqvist,
C-0919,Roselake Hospitality,Chloe Thompson,cthompson@roselakehospitality.com,net 30,Inactive,Sofia Lindqvist,
C-0183,Vireo Biotech,Linda Roberts,lroberts@vireobiotech.com,Net 15,Active,Sofia Lindqvist,
C-0823,Westbridge Community Bank,George Cooper,gcooper@westbridgecommunity.com,net 30,Active,Graham Achebe,
C-0342,Alderbrook Clinics,Eric Garcia,egarcia@alderbrookclinics.com,Net 30,Inactive,Nadia Okafor,
C-0441,Lowell & Pratt Architects,Brian Parker,bparker@lowellpratt.com,net 30,Active,Eleanor Voss,
C-0718,Upland Timber Products,Angela Flores,aflores@uplandtimber.com,NET 45,Active,Nadia Okafor,
C-0918,Thornbury School District,Yuki Edwards,yedwards@thornburyschool.com,net 30,Active,Daniel Reyes,
C-0294,Nettlefield Farms,Betty Hill,bhill@nettlefieldfarms.com,net 30,Active,Marcus Iyer,
C-0556,Ashgrove Manufacturing,Dorothy Ward,dward@ashgrovemanufacturing.com,NET 45,Active,Sofia Lindqvist,
