Req ID,Title,Department,Hiring Manager,Location,Salary Min,Salary Max,Openings,Opened,Status,Filled On
REQ-0101,Machine Learning Engineer,Engineering,Ken Okafor,Remote (US),"$165,000","$250,000",1,04-Mar-2025,Closed - filled,28-Oct-2025
REQ-0102,Sales Manager,Sales,Maria Santos,Remote (US),130000,170k,1,2025-03-06,Closed - filled,25-May-2026
REQ-0103,Data Engineer,Engineering,Ken Okafor,"Denver, CO",135k,175k,1,3/10/2025,Closed - filled,17-Oct-2025
REQ-0104,Support Team Lead,Customer Success,J. Reyes,Remote (US),80000,"$90,000",1,14-Mar-2025,Filled,2025-08-21
REQ-0105,Frontend Engineer,Engineering,Ken Okafor,"Denver, CO","$125,000",150000,1,3/23/2025,Filled,20-Aug-2026
REQ-0106,UX Researcher,Product & Design,Aisha Bello,"Chicago, IL",115000,145000,1,29-Apr-2025,Closed - filled,22-Feb-2026
REQ-0107,Support Specialist,Customer Success,J. Reyes,Remote (US),"$50,000",65000,2,2025-05-02,Cancelled,
REQ-0108,Product Analyst,Product & Design,Aisha Bello,Remote (US),"$95,000",125000,1,"Jun 16, 2025",Filled,2026-08-24
REQ-0109,Sales Development Rep,Sales,"Santos, Maria","Denver, CO",55k,75k,2,"Jul 11, 2025",Filled,"Jul 21, 2026"
REQ-0110,Support Team Lead,Customer Success,Jordan Reyes,"Austin, TX","$75,000","$90,000",1,24-Aug-2025,Filled,07-Jan-2026
REQ-0111,Engineering Manager,Engineering,Ken Okafor,"Austin, TX",180000,215000,1,05-Oct-2025,Filled,"Mar 19, 2026"
REQ-0112,Staff Platform Engineer,Engineering,Ken Okafor,"Chicago, IL",190k,"$240,000",1,2025-10-06,Filled,"Jan 22, 2026"
REQ-0113,Onboarding Specialist,Customer Success,J. Reyes,"Denver, CO",60k,75000,1,21-Oct-2025,Cancelled,
REQ-0114,Enterprise Account Executive,Sales,Maria Santos,"Chicago, IL","$120,000","$150,000",1,2025-10-23,Filled,01-Dec-2025
REQ-0115,Sales Manager,Sales,Maria Santos,"Austin, TX",130000,"$170,000",1,"Oct 28, 2025",Filled,2026-06-19
REQ-0116,Engineering Manager,Engineering,Ken Okafor,"Denver, CO",180000,"$215,000",1,"Nov 22, 2025",Filled,2026-03-27
REQ-0117,Onboarding Specialist,Customer Success,Jordan Reyes,Remote (US),"$60,000","$85,000",1,"Dec 1, 2025",Closed - filled,4/21/2026
REQ-0118,Enterprise Account Executive,Sales,Maria Santos,"Denver, CO",125k,"$150,000",1,08-Dec-2025,Filled,"Sep 11, 2026"
REQ-0119,Senior Backend Engineer,Engineering,K. Okafor,"Denver, CO","$150,000",195000,1,"Dec 14, 2025",Filled,4/20/2026
