sku,description,supplier,order_qty
TUB-700-32,Tube 700x28-32c presta,QBP,40
TIR-700-28,Tire 700x28c folding,QBP,12
PAD-RES,Disc brake pads resin,Shimano Direct,50
PAD-MET,Disc brake pads metal,Shimano Direct,30
CBL-SHF,Shift cable stainless,BTI,25
LUB-DRY,Chain lube dry 4oz,BTI,12
SEAL-4,Tubeless sealant 4oz,Orange Seal Co,48
VLV-TL44,Tubeless valves 44mm pair,Orange Seal Co,30
CO2-16,CO2 cartridge 16g threaded,QBP,20
PUMP-MINI,Mini pump,QBP,20
LGT-F800,Front light 800 lumen,Light & Motion,12
BTL-24,Water bottle 24oz,BTI,48
CAGE-AL,Bottle cage alloy,BTI,30
ROT-160,Disc rotor 160mm 6-bolt,Shimano Direct,12
BELL-BR,Bell brass,BTI,24
