Reg ID,Processed,Amount,Reason
REG-1062,09/27/2026,$223.75,Sponsor comped after the fact
REG-1066,10/01/2026,$645.00,Membership discount applied late
REG-1069,10/04/2026,$645.00,Duplicate charge
REG-1109,09/29/2026,$645.00,Did not attend - travel cancelled
REG-1116,09/27/2026,$645.00,Sponsor comped after the fact
REG-1121,09/23/2026,$322.50,Did not attend - travel cancelled
REG-1128,09/30/2026,$645.00,"Session cancelled, partial"
REG-1129,10/01/2026,$322.50,Membership discount applied late
REG-1149,10/03/2026,$395.00,Sponsor comped after the fact
REG-1205,09/26/2026,$48.75,Goodwill - AV problems
REG-1208,09/29/2026,$97.50,Did not attend - travel cancelled
