Kit,Item,Qty,Notes
ENG-STD,"Laptop, 14-inch (Dell Latitude 7450)",1,
ENG-STD,Docking station,1,
ENG-STD,"Monitor, 24-inch",2,
ENG-STD,USB headset,1,
ENG-STD,Desk phone (Yealink T54W),1,
ENG-CAD,"Mobile workstation, 16-inch (Dell Precision 5690, RTX GPU)",1,Civil 3D / Revit users
ENG-CAD,Docking station (Thunderbolt 4),1,
ENG-CAD,"Monitor, 27-inch",2,
ENG-CAD,3D mouse (3Dconnexion SpaceMouse),1,
ENG-CAD,USB headset,1,
ENG-CAD,Desk phone (Yealink T54W),1,
ADMIN,"Laptop, 14-inch (Dell Latitude 5450)",1,
ADMIN,"Monitor, 24-inch",1,
ADMIN,Desk phone (Yealink T54W),1,
FIELD,Rugged tablet (Panasonic Toughbook G2),1,Survey crews
FIELD,Hi-vis vest and hard hat,1,
