Sales by territory
Range 04/26/2026 - 05/31/2026
Doc No,Doc Date,Territory,Customer,Amount
SO-40256,26-Apr-2026,Pacific,Silverline Logistics,"2,273.02 USD"
SO-40202,26-Apr-2026,Great Lakes,Acme Industrial,"7,935.38 USD"
SO-40182,2026-04-26,Gulf,Quarry Road Nursery,"$8,016.45"
SO-40237,04/26/2026,Mountain,Thistle & Thread Alterations,"5,059.09"
SO-40153,04/26/2026,Atlantic,Tamarack Brewing,"4,202.06"
SO-40245,2026-04-26,Pacific,Pinnacle Roofing,"$6,561.90"
SO-40150,04/26/2026,Atlantic,Brightwater Dental,"1,368.48"
SO-40138,04/26/2026,Atlantic,Everline Insurance,"3,847.49"
SO-40259,27-Apr-2026,Pacific,Quarry Road Nursery,"3,936.92 USD"
SO-40221,2026-04-27,Mountain,Kingfisher Charters,"$4,486.20"
SO-40254,2026-04-27,Pacific,Lakeside Veterinary,"$4,861.91"
SO-40233,2026-04-27,Mountain,Pemberton HVAC,"$6,547.42"
SO-40159,04/27/2026,Atlantic,Kingfisher Charters,"2,086.05"
SO-40220,28-Apr-2026,Mountain,Cedar & Pine Landscaping,788.96 USD
SO-40147,04/28/2026,Atlantic,Kestrel Analytics,"5,162.95"
SO-40148,28-Apr-2026,Atlantic,Harbor Light Marine,"7,149.32 USD"
SO-40184,28-Apr-2026,Gulf,Umber Ceramics,591.15 USD
SO-40234,04/29/2026,Mountain,Silverline Logistics,"6,919.43"
SO-40194,2026-04-29,Great Lakes,Northfield Auto Body,"$6,387.70"
SO-40224,2026-04-29,Mountain,Fernbrook Montessori,$538.62
SO-40215,2026-04-29,Mountain,Westbrook Plumbing,"$5,176.70"
SO-40243,04/30/2026,Pacific,Pemberton HVAC,"7,436.14"
SO-40141,04/30/2026,Atlantic,Harbor Light Marine,"6,185.33"
SO-40249,04/30/2026,Pacific,Harbor Light Marine,"1,959.25"
SO-40178,30-Apr-2026,Gulf,Larkspur Yoga,"6,170.01 USD"
SO-40157,30-Apr-2026,Atlantic,Blue Heron Consulting,"3,715.58 USD"
SO-40374,2026-05-01,Pacific,Thistle & Thread Alterations,$982.32
SO-40319,01-May-2026,Gulf,Tamarack Brewing,"7,621.21 USD"
SO-40349,01-May-2026,Great Lakes,Everline Insurance,"5,635.20 USD"
SO-40263,2026-05-01,Atlantic,Meridian Title,"$8,849.44"
SO-40287,2026-05-03,Atlantic,Everline Insurance,"$5,753.60"
SO-40295,04-May-2026,Gulf,Quill & Ink Print Shop,"7,902.42 USD"
SO-40323,2026-05-04,Gulf,Quarry Road Nursery,"$8,299.65"
SO-40291,05/04/2026,Atlantic,Quarry Road Nursery,"6,398.84"
SO-40377,2026-05-04,Pacific,Quarry Road Nursery,$486.83
SO-40338,2026-05-04,Great Lakes,Yellowtail Seafood,$933.38
SO-40373,05-May-2026,Pacific,Acme Industrial,"3,659.95 USD"
SO-40363,05/05/2026,Pacific,Dorsey Freight,"3,352.49"
SO-40344,2026-05-05,Great Lakes,Blue Heron Consulting,"$7,718.20"
SO-40307,05-May-2026,Gulf,Driftwood Studio,"2,719.04 USD"
