SKU,Description,Primary Vendor,Reorder Point,Pack Qty
TUB-700-25,Tube 700x25c presta 48mm,QBP,20,10
TUB-700-32,Tube 700x28-32c presta,QBP,10,10
TUB-29-24,Tube 29x2.1-2.4 presta,QBP,13,10
TUB-26-195,Tube 26x1.95 schrader,QBP,17,10
TUB-20-175,Tube 20x1.75 schrader,BTI,7,5
TIR-700-28,Tire 700x28c folding,QBP,5,2
TIR-29-23,Tire 29x2.3 tubeless ready,QBP,3,2
TIR-650B-47,Tire 650bx47 gravel,BTI,5,2
CHN-11,Chain 11-speed 116L,Shimano Direct,23,5
CHN-12,Chain 12-speed 126L,Shimano Direct,21,5
CHN-9,Chain 9-speed 116L,Shimano Direct,11,5
CAS-11-34,Cassette 11-speed 11-34,Shimano Direct,12,1
PAD-RES,Disc brake pads resin,Shimano Direct,31,10
PAD-MET,Disc brake pads metal,Shimano Direct,31,10
PAD-RIM,Rim brake pads road,BTI,11,4
CBL-BRK,Brake cable stainless,BTI,16,25
CBL-SHF,Shift cable stainless,BTI,12,25
GRP-LOK,Lock-on grips black,Kestrel Components,8,6
TAPE-BLK,Bar tape black,Kestrel Components,10,6
SDL-CMF,Comfort saddle,Kestrel Components,7,2
LUB-DRY,Chain lube dry 4oz,BTI,5,12
LUB-WET,Chain lube wet 4oz,BTI,21,12
SEAL-4,Tubeless sealant 4oz,Orange Seal Co,20,12
SEAL-32,Tubeless sealant 32oz,Orange Seal Co,7,4
VLV-TL44,Tubeless valves 44mm pair,Orange Seal Co,17,10
PATCH-6,Patch kit 6pc,QBP,18,24
CO2-16,CO2 cartridge 16g threaded,QBP,5,20
PUMP-MINI,Mini pump,QBP,6,4
LGT-F800,Front light 800 lumen,Light & Motion,6,4
LGT-R100,Rear light 100 lumen,Light & Motion,12,4
BTL-24,Water bottle 24oz,BTI,23,12
CAGE-AL,Bottle cage alloy,BTI,11,6
ROT-160,Disc rotor 160mm 6-bolt,Shimano Direct,9,2
BELL-BR,Bell brass,BTI,8,6
TOOL-MULTI,Multi-tool 14 function,QBP,5,4
GLV-M,Gloves full finger M,Kestrel Components,4,3
