invoice_id,customer,invoice_date,amount
INV-2026-0401,Meridian Title Services,2026-06-16,7380.43
INV-2026-0402,Northfield Auto Body,2026-06-16,8154.04
INV-2026-0403,Ellington Bakeries,2026-06-20,956.56
INV-2026-0404,Yellowtail Seafood Market,2026-06-20,5899.83
INV-2026-0405,Quarry Road Nursery,2026-06-22,6900.37
INV-2026-0406,Kestrel Analytics,2026-06-22,1719.97
INV-2026-0408,Dorsey Freight Inc,2026-06-23,2326.20
INV-2026-0409,Ellington Bakeries,2026-06-24,4491.06
INV-2026-0410,Cedar & Pine Landscaping,2026-06-25,7013.57
INV-2026-0411,Foxglove Interiors,2026-06-27,6661.72
INV-2026-0412,Tamarack Brewing Co,2026-06-27,8593.05
INV-2026-0413,Foxglove Interiors,2026-06-30,483.47
INV-2026-0414,Kestrel Analytics,2026-07-01,8565.64
INV-2026-0415,Kestrel Analytics,2026-07-02,5639.08
INV-2026-0416,Brightwater Dental Group,2026-07-04,7608.43
INV-2026-0417,Pinnacle Roofing,2026-07-05,7000.64
INV-2026-0418,Pinnacle Roofing,2026-07-05,1773.79
INV-2026-0419,Juniper Street Cafe,2026-07-06,794.59
INV-2026-0420,Brightwater Dental Group,2026-07-07,6928.59
INV-2026-0421,Uptown Fitness Studio,2026-07-08,4474.03
INV-2026-0422,Uptown Fitness Studio,2026-07-10,8693.18
INV-2026-0423,Uptown Fitness Studio,2026-07-11,8915.34
INV-2026-0424,Ironwood Fabrication Co,2026-07-13,5990.26
INV-2026-0425,Juniper Street Cafe,2026-07-15,180.67
INV-2026-0426,Meridian Title Services,2026-07-17,554.32
INV-2026-0427,Tamarack Brewing Co,2026-07-17,3315.58
INV-2026-0428,Pinnacle Roofing,2026-07-18,8239.03
INV-2026-0429,Silverline Logistics,2026-07-18,659.62
INV-2026-0431,Cedar & Pine Landscaping,2026-07-20,8094.57
INV-2026-0432,Kestrel Analytics,2026-07-21,9551.58
INV-2026-0433,Brightwater Dental Group,2026-07-23,4173.62
INV-2026-0434,Pinnacle Roofing,2026-07-24,5457.17
INV-2026-0435,Quarry Road Nursery,2026-07-24,9444.42
INV-2026-0436,Northfield Auto Body,2026-07-27,9593.86
INV-2026-0438,Kestrel Analytics,2026-07-28,8236.25
INV-2026-0439,Pinnacle Roofing,2026-07-29,1435.62
INV-2026-0440,Yellowtail Seafood Market,2026-07-30,321.70
INV-2026-0441,Foxglove Interiors,2026-07-30,9314.65
INV-2026-0444,Uptown Fitness Studio,2026-07-30,4196.21
INV-2026-0446,Juniper Street Cafe,2026-07-30,212.64
INV-2026-0447,Northfield Auto Body,2026-08-03,317.48
INV-2026-0448,Meridian Title Services,2026-08-03,7440.73
INV-2026-0449,Ellington Bakeries,2026-08-04,9609.95
INV-2026-0451,Northfield Auto Body,2026-08-06,6680.83
INV-2026-0452,Pinnacle Roofing,2026-08-09,6068.04
INV-2026-0453,Foxglove Interiors,2026-08-10,2012.22
INV-2026-0454,Juniper Street Cafe,2026-08-12,6032.42
INV-2026-0455,Silverline Logistics,2026-08-13,2089.73
INV-2026-0456,Foxglove Interiors,2026-08-14,3089.24
INV-2026-0459,Quarry Road Nursery,2026-08-14,6803.75
INV-2026-0460,Dorsey Freight Inc,2026-08-15,1932.97
INV-2026-0462,Dorsey Freight Inc,2026-08-18,4755.32
INV-2026-0463,Yellowtail Seafood Market,2026-08-19,9057.04
INV-2026-0464,Juniper Street Cafe,2026-08-21,6217.89
INV-2026-0466,Yellowtail Seafood Market,2026-08-23,390.15
