cost_code,description,budget,spent,committed,remaining
WG-01,General conditions,119000.00,77350.00,33150.00,8500.00
WG-02,Demolition and abatement,49000.00,42500.00,0.00,6500.00
WG-03,Electrical,125000.00,99680.00,3800.00,21520.00
WG-04,HVAC,115000.00,99250.00,0.00,15750.00
WG-05,Exhibit fabrication,296000.00,127800.00,107950.00,60250.00
WG-06,Gallery lighting,65000.00,38512.50,20737.50,5750.00
WG-07,AV and interactive media,87000.00,4172.87,69827.13,13000.00
WG-08,Design and engineering fees,98000.00,56758.12,0.00,41241.88
WG-09,Permits and inspections,7500.00,4325.58,0.00,3174.42
WG-10,Owner contingency,65000.00,0.00,0.00,65000.00
