Vendor No,Vendor Name,Category,Tax ID,Contact,Email,Phone,Payment Terms,Annual Spend,Stage,Added On
V-35,Ridgeway Closures,Packaging,83-3936106,Angela Walker,angela.walker@ridgewayclosures.com,+1 (515) 555-1137,Net 45,254655.56,Approved,2022-02-11
V-0113,Sweetwater Flour Mills,Ingredients,94-4301523,Matthew Campbell,matthew.campbell@sweetwaterflourmills.com,6085551984,Net 60,,New,2026-04-20
V-0109,Cold Chain Express,Logistics,10-5974114,Donna Rogers,donna.rogers@coldchainexpress.com,(515) 555-1254,Net 30,,New,"August 16, 2026"
V-0069,Pinnacle Carton Co.,Packaging,54-2416427,Mateo Alvarez,mateo.alvarez@pinnaclecarton.com,(608) 555-1711,Net 60,,New,06/15/2026
V-0104,Keystone Pallet Supply,PACKAGING,16-5732983,Dorothy Diaz,dorothy.diaz@keystonepalletsupply.com,312.555.1785,Net 30,371761.73,Approved,10/10/2023
V-0033,Copper Kettle Orchards,Ingredients,19-3339322,Fatima Martinez,fatima.martinez@copperkettleorchards.com,+1 (612) 555-1122,Net 30,256574.73,Approved,"August 18, 2019"
V-31,Bluewater Packaging Inc.,Packaging ,82-1402308,Patricia Gonzalez,patricia.gonzalez@bluewaterpackaging.com,312-555-1969,Net 45,,Documents,04/04/26
V-0104,Keystone Pallet Supply,PACKAGING,16-5732983,Dorothy Diaz,dorothy.diaz@keystonepalletsupply.com,312.555.1785,Net 30,371761.73,Approved,10/10/2023
V-0051,Brightline Refrigeration Service,Facilities,20-9907318,Daniel Jackson,daniel.jackson@brightlinerefrigerationservice.com,+1 (414) 555-1973,Net 30,"44,001.93",Approved,"February 05, 2020"
V-0093,Keystone Packaging Inc.,PACKAGING,,Tomasz Foster,tomasz.foster@keystonepackaging.com,5155551410,Net 60,,New ,03/08/26
V-0058,Metro Industrial Supply,Facilities,23-8158036,Omar Morales,omar.morales@metroindustrialsupply.com,515-555-1581,2% 10 Net 30,12953.44,Approved,08/04/2024
V-0068,Red Barn Orchards,Ingredients,18-8190484,Robert Clark,robert.clark@redbarnorchards.com,+1 (816) 555-1200,Net 30,,New,03/22/26
V-0047,Ironbridge CPA Group,it & services,56-5997232,Elizabeth White,elizabeth.white@ironbridgecpagroup.com,1-515-555-1813,Net 60,,Documents,04-Jul-2026
V-0088,Highway 30 Carriers,Logistics,23-5656548,Shirley Jackson,shirley.jackson@highway30carriers.com,(612) 555-1417,Net 30,113883.65,Approved,"February 19, 2021"
V-0054,Lakeshore Sugar Refining,Ingredients,37-5911986,Timothy Kim,timothy.kim@lakeshoresugarrefining.com,515.555.1197,Net 30,73247.72,Approved,29-Jul-2024
V-0052,Coastal Spice Traders,Ingredients ,84-7400275,Steven Castillo,steven.castillo@coastalspicetraders.com,1-816-555-1727,Net 60,,Review,04/01/26
V-0067,Interstate Carriers,Logistics,50-9766644,Edward Reed,edward.reed@interstatecarriers.com,+1 (816) 555-1746,Net 60,78617.82,Approved,"January 15, 2022"
V-0049,Sterling Networks,IT & Services,73-1332927,Priya Nelson,priya.nelson@sterlingnetworks.com,1-515-555-1436,Net 30,32962.40,Approved,"November 19, 2019"
V-0072,Riverbend Honey LLC,Ingredients,17-3813151,Amy Clark,amy.clark@riverbendhoney.com,612-555-1281,Net 45,195009.90,Approved,"October 27, 2021"
V-0041,Reliable Pest Control,Facilities,49-5348591,Lisa Walker,lisa.walker@reliablepestcontrol.com,816.555.1325,Net 60,,Rejected,06/16/26
V-0111,Copper Kettle Honey LLC,Ingredients,39-8505981,Sandra Young,sandra.young@copperkettlehoney.com,(608) 555-1844,Net 30,430135.20,Approved,19-Sep-2024
V-0084,Ridgeway Containers,Packaging,83-8349010,Richard Lee,richard.lee@ridgewaycontainers.com,612.555.1591,Net 60,116009.69,Approved,03/17/20
V-0004,Hometown Electric LLC,Facilities,11-2948865,Betty Okafor,betty.okafor@hometownelectric.com,(515) 555-1822,2% 10 Net 30,,Documents,2026-04-26
V-0005,Tri-State Landscaping,Facilities,82-1491841,Jonathan Haddad,jonathan.haddad@tristatelandscaping.com,6085551890,Net 30,,Documents,04/05/26
V-0008,Highway 30 Express,Logistics,93-7988601,Daniel Reed,daniel.reed@highway30express.com,+1 515 555 1734,Net 45,105079.09,Approved,"July 10, 2022"
V-0083,Clearwater Consulting,IT & Services,39-2204269,Margaret Castillo,margaret.castillo@clearwaterconsulting.com,608.555.1495,Net 60,,Documents,"July 20, 2026"
V-0101,Coastal Flour Mills,Ingredients,66-8120426,Rahul Allen,rahul.allen@coastalflourmills.com,+1 (816) 555-1763,Net 60,"$93,299.50",Approved,"December 07, 2022"
V-0048,Bluewater Films LLC,Packaging,74-1694672,Rahul Thomas,rahul.thomas@bluewaterfilms.com,+1 (515) 555-1284,Net 45,207837.16,Approved,03/23/25
V-0015,Precision Janitorial,Facilities,89-3401864,Joseph Ramos,joseph.ramos@precisionjanitorial.com,608.555.1096,Net 30,,Documents,07/25/26
V-0071,Cornerstone Janitorial,Facilities,27-6130610,Brian Reed,brian.reed@cornerstonejanitorial.com,5155551587,Net 30,,Rejected,2026-04-03
V-0063,Northstar Closures,Packaging,53-6125633,David Morris,david.morris@northstarclosures.com,414-555-1255,Net 45,,Rejected,2026-06-21
V-0070,Golden Plains Cocoa Importers,Ingredients,34-6760609,Thomas Ramirez,thomas.ramirez@goldenplainscocoa.com,608-555-1043,Net 45,,Review,2026-07-07
V-0039,Brightpath CPA Group,IT & Services,29-2450535,Carol Cruz,carol.cruz@brightpathcpagroup.com,312-555-1511,Net 45,130576.80,approved,12/17/2019
