Account #,Client,Domain,Tier,Account Agent,Contract Start,Monthly Fee
A-1945,Umber Ceramics,umberceramics.com,Gold,Andre Silva,2020-02-20,"$1,200.00"
A-1696,Riverbend Physio,riverbendphysio.com,Silver,Priya Nair,2023-09-07,"$1,200.00"
A-1724,Everline Insurance,everline.com,Gold,Priya Nair,2021-02-11,$450.00
,Uptown Fitness LLC,UPTOWNFIT.COM,Bronze,Kate Morrison,10/07/2022,450
A-1863,Pemberton HVAC,pembertonhvac.com,Silver,Sam Delgado,2024-11-03,"2,100.00"
A-1987,Seaside Realty Partners,seasiderp.com,Gold,Andre Silva,2019-06-11,1200
A-1590,Willowbrook Senior Care,willowbrookcare.org,Gold,Andre Silva,2020-07-06,890
A-1717,Tamarack Brewing,tamarackbrewing.com,Silver,Andre Silva,2023-02-11,890
A-1309,Yellowtail Seafood,yellowtailseafood.com,Silver,Sam Delgado,2023-10-12,890.00
A-1502,Nightjar Coffee Roasters,nightjar.coffee,Silver,,2019-03-08,$650.00
A-1209,Meridian Title,meridiantitle.com,Silver,Jordan Blake,2021-01-08,"$1,200.00"
A-1521,Blue Heron Consulting,blueheronconsulting.com,Silver,,2022-08-21,450.00
A-1723,Kingfisher Charters,kingfishercharters.com,Silver,Jordan Blake,2020-01-19,890.00
A-1835,Harbor Light Marine,harborlightmarine.com,Bronze,Sam Delgado,2019-09-08,"$2,100.00"
A-1092,Granger Tool & Die,grangertool.com,Silver,Andre Silva,2019-12-08,"2,100.00"
A-1776,Granite Peak Outfitters,granitepeak.com,Silver,Priya Nair,2019-02-28,650.00
A-1189,Summit Ridge Surveying,summitridgesurvey.com,Silver,Mei Chen,2023-08-25,"$2,100.00"
A-1602,Brightwater Dental,brightwaterdental.com,Silver,Kate Morrison,2021-04-13,2100
A-1700,Blue Mesa Title,bluemesatitle.com,Bronze,Kate Morrison,2023-03-06,"$1,200.00"
A-1325,Uptown Fitness,uptownfit.com,Bronze,Kate Morrison,2022-10-07,450
A-1946,Fairway Physical Therapy,fairwaypt.com,Gold,Mei Chen,2019-11-30,1200
A-1554,Zephyr Bike Works,zephyrbikes.com,Silver,Priya Nair,2019-10-22,650.00
A-1299,Lakeside Veterinary,lakesidevet.com,Gold,Andre Silva,2024-12-28,2100
A-1956,Larkspur Yoga,larkspuryoga.com,Gold,,2022-10-05,1200
A-1192,Vantage Point Media,vantagepointmedia.com,Bronze,Mei Chen,2025-05-16,"$2,100.00"
A-1673,Pinewood Property Group,pinewoodpg.com,Silver,Mei Chen,2021-11-27,450.00
A-1128,Bramble & Birch Florals,bramblebirch.com,Gold,Mei Chen,2023-02-25,450
A-1040,Northfield Auto Body,northfieldauto.com,Gold,Jordan Blake,2020-04-19,1200
A-1083,Westbrook Plumbing,westbrookplumbing.com,Silver,Priya Nair,2022-02-14,650.00
A-1561,Dorsey Freight,dorseyfreight.com,Gold,Priya Nair,2019-03-30,"$1,450.00"
A-1898,Silverline Logistics,silverlinelogistics.com,Silver,Priya Nair,2021-03-24,"1,450.00"
A-1154,Ironwood Fabrication,ironwoodfab.com,Silver,Jordan Blake,2021-01-16,2100
A-1328,Glassworks Optical,glassworksoptical.com,Silver,,2023-09-14,$650.00
,Fairway Physical Therapy LLC,FAIRWAYPT.COM,Gold,Mei Chen,11/30/2019,1200
A-1395,Ridgeview Animal Hospital,ridgeviewanimal.com,Silver,Sam Delgado,2019-02-20,"1,450.00"
A-1618,Crescent Moon Bakery,crescentmoonbakes.com,Silver,Jordan Blake,2024-04-10,"2,100.00"
A-1283,Cedar & Pine Landscaping,cedarpine.co,Silver,Sam Delgado,2025-07-17,650.00
A-1034,Ellington Bakeries,ellingtonbakes.com,Bronze,Priya Nair,2025-05-13,"$1,200.00"
A-1818,Redwood Property Mgmt,redwoodpm.com,Silver,Kate Morrison,2023-05-11,890.00
A-1071,Mossbank Accounting,mossbank.cpa,Silver,Mei Chen,2023-08-28,$450.00
A-1850,Lantern Hill Winery,lanternhillwine.com,Gold,Kate Morrison,2024-07-18,"2,100.00"
A-1842,Northgate Chiropractic,northgatechiro.com,Silver,Sam Delgado,2021-07-02,650
A-1341,Foxglove Interiors,foxgloveinteriors.com,Silver,Sam Delgado,2020-05-22,"2,100.00"
A-1565,Saltmarsh Kayaks,saltmarshkayaks.com,Gold,Priya Nair,2021-06-15,$650.00
A-1298,Keystone Freight Brokers,keystonefb.com,Silver,Andre Silva,2020-06-26,"$2,100.00"
A-1401,Copperfield Law,copperfieldlaw.com,Silver,Sam Delgado,2022-04-07,"$1,200.00"
A-1134,Harlow Pediatric Dentistry,harlowpeds.com,Gold,Kate Morrison,2020-02-05,"$1,450.00"
A-1920,Hollowell Electric,hollowellelectric.com,Gold,Priya Nair,2021-04-22,450.00
A-1248,Kestrel Analytics,kestrelanalytics.io,Silver,Mei Chen,2022-03-25,$890.00
A-1112,Tallgrass Veterinary,tallgrassvet.com,Silver,Priya Nair,2021-06-22,2100
A-1488,Quill & Ink Print Shop,quillandink.print,Gold,Priya Nair,2022-08-28,"$1,200.00"
A-1628,Valley Forge Storage,valleyforgestorage.com,Bronze,Kate Morrison,2019-07-11,2100
A-1456,Thistle & Thread Alterations,thistlethread.com,Silver,Andre Silva,2020-04-25,$890.00
A-1395,Ridgeview Animal Hospital,ridgeviewanimal.com,Silver,Sam Delgado,2019-02-20,"1,450.00"
A-1819,Acme Industrial,acmeindustrial.com,Gold,Kate Morrison,2021-03-27,"$1,200.00"
A-1858,Ivy Lane Florist,ivylaneflorist.com,Gold,Sam Delgado,2022-01-16,650.00
A-1094,Oakhurst Pediatrics,oakhurstpeds.org,Bronze,Kate Morrison,2019-02-24,$650.00
A-1295,Wren & Sparrow Bookshop,wrensparrowbooks.com,Gold,Kate Morrison,2020-10-25,650.00
A-1611,Pinnacle Roofing,pinnacleroofing.com,Bronze,Kate Morrison,2025-05-20,1200
A-1897,Fernbrook Montessori,fernbrookmontessori.org,Silver,,2024-07-10,1200
A-1538,Quarry Road Nursery,quarryroad.com,Silver,Andre Silva,2019-06-18,450.00
A-1897,Fernbrook Montessori,fernbrookmontessori.org,Silver,,2024-07-10,1200
A-1267,Juniper Street Cafe,juniperstreet.cafe,Silver,Mei Chen,2024-06-18,"1,450.00"
A-1194,Orchard Hill Dental,orchardhilldental.com,Gold,Priya Nair,2021-02-26,"$1,450.00"
