Billing event log
Exported 07/02/2026 - includes the 2025 book
Event ID,Logged,Account,Event,Plan,Billing period,Contract amount,Effective date,Note
EV-9012,10-Jun-2024,Lakeside Veterinary,new,Business,Monthly,$ 499.00,,
EV-9011,06/23/2024,Kestrel Analytics,new,Business,Monthly,499.00,,
EV-9019,2024-06-23,Silverline Logistics,new,Business (annual),,"$5,388.00",,
EV-9006,30-Jun-2024,Foxglove Interiors,new,Team (annual),Annual,"$ 2,148.00",,
EV-9014,06/30/2024,Northfield Auto Body,new,Starter (annual),Annual,528.00,,
EV-9034,2024-07-01,Larkspur Yoga,new,Team (annual),,"$2,148.00",,
EV-9026,07/06/2024,Copperfield Law,new,Starter (annual),Annual,528.00,,
EV-9001,2024-08-04,Acme Industrial,new,Starter,Monthly,$49.00,,
EV-9030,28-Aug-2024,Glassworks Optical,new,Scale (annual),Annual,"$ 12,840.00",,
EV-9005,09/05/2024,Ellington Bakeries,new,Team,Monthly,199.00,,
EV-9020,09/11/2024,Tamarack Brewing,new,Starter (annual),Annual,528.00,,
EV-9002,09/29/2024,Brightwater Dental,new,Business (annual),Annual,"5,388.00",,
EV-9032,11/15/2024,Ivy Lane Florist,new,Scale,Monthly,"1,190.00",,
EV-9013,2025-01-08,Meridian Title,new,Starter (annual),,$528.00,,
EV-9009,21-Jan-2025,Ironwood Fabrication,new,Business (annual),Annual,"$ 5,388.00",,
EV-9017,01/23/2025,Quarry Road Nursery,new,Scale (annual),Annual,"12,840.00",,
EV-9016,2025-01-25,Pinnacle Roofing,new,Team (annual),,"$2,148.00",,
EV-9027,04-Feb-2025,Driftwood Studio,new,Team (annual),Annual,"$ 2,148.00",,
EV-9021,31-Mar-2025,Uptown Fitness,new,Starter,Monthly,$ 49.00,,
EV-9024,07-Apr-2025,Yellowtail Seafood,new,Team,Monthly,$ 199.00,,
EV-9010,2025-04-22,Juniper Street Cafe,new,Scale,Monthly,"$1,190.00",,
EV-9022,2025-05-07,Vantage Point Media,new,Scale,Monthly,"$1,190.00",,
EV-9029,06/11/2025,Fernbrook Montessori,new,Starter,Monthly,49.00,,
EV-9033,15-Jun-2025,Kingfisher Charters,new,Starter (annual),Annual,$ 528.00,,
EV-9004,2025-06-24,Dorsey Freight,new,Team (annual),,"$2,148.00",,
EV-9028,2025-07-30,Everline Insurance,new,Starter (annual),,$528.00,,
EV-9007,2025-08-18,Granite Peak Outfitters,new,Starter (annual),,$528.00,,
EV-9015,23-Aug-2025,Oakhurst Pediatrics,new,Team,Monthly,$ 199.00,,
EV-9008,08/31/2025,Harbor Light Marine,new,Business,Monthly,499.00,,
EV-9003,04-Sep-2025,Cedar & Pine Landscaping,new,Team (annual),Annual,"$ 2,148.00",,
EV-9018,14-Sep-2025,Redwood Property Mgmt,new,Team,Monthly,$ 199.00,,
EV-9025,2025-10-25,Blue Heron Consulting,new,Business (annual),,"$5,388.00",,
EV-9023,11/02/2025,Westbrook Plumbing,new,Starter (annual),Annual,528.00,,
EV-9031,2025-11-03,Hollowell Electric,new,Team (annual),,"$2,148.00",,
EV-9035,01/10/2026,Mossbank Accounting,new,Team (annual),Annual,"2,148.00",,
EV-9052,2026-02-03,Foxglove Interiors Group,Trial start,Business (annual),,"$5,388.00",,"14-day trial, not billed"
EV-9059,02/06/2026,Meridian Title,Upgrade,Team (annual),Annual,"2,148.00",,new price effective today
