Asset Tag,Serial Number,Type,Make,Model,Site,Purchase Date,Purchase Cost,Warranty,Status,Notes
IT-003671,LG95194560,Monitor,LG,27UP850,SLC,2023-12-12,449.00,1 yr,ASSIGNED,
IT-3962,LG97862626,Monitor,LG,27UP850,Omaha ,05/31/2022,$449.00,1 yr,assigned,
000230,DE54217048,Dock,Dell,WD19S,Denver,07/05/25,$229.00,12 months,IN STOCK,
IT-003426,DE29151976,Laptop,Dell,Latitude 5440,Denver,13-Jan-2023,"$1,249.00",3 yr,Assigned,
IT-002851,DE30295896,Monitor,Dell,U3423WE,Salt Lake City,03/26/2026,$899.00,36,assigned,
IT-004176,DE25019287,Laptop,Dell,Latitude 5440,Denver,"September 10, 2019","1,249.00",36 months,Assigned,
IT-003008,DE45026062,Laptop,Dell,Latitude 7440,Boise,2021-06-03,"1,689.00",3 years,In repair,
IT-001095,LE19263396,Dock,Lenovo,ThinkPad USB-C Dock,Denver,"September 06, 2025",249.00,none,Assigned,
IT-2861,DE27979290,Laptop,Dell,Latitude 5440,Boise,26-Jul-2020,"$1,249.00",36 months,ASSIGNED,
IT-000177,LE28447458,laptop,Lenovo,ThinkPad T14,Omaha,01/25/22,1389,36 months,In stock,
IT-002653,HP34881374,Laptop,HP,EliteBook 840,Salt Lake City,"August 20, 2023",1329,3 years,ASSIGNED,
3152,DE16034864,Laptop,Dell,Latitude 5440,Denver,11/14/2021,"1,249.00",3 years,ASSIGNED,
IT-000629,HP71192240,Laptop,HP,EliteBook 840,BOISE,08/04/19,"1,329.00",3 yr,in repair,
IT-002737,UB51045754,Switch,Ubiquiti,USW-Pro-24,Boise,2019-08-30,699.00,12,in service,
IT-003097,LE66471810,Laptop,Lenovo,ThinkPad T14,Denver HQ,"December 30, 2020",1389,36 months,assigned,
IT-003116,DE19139283,Laptop,Dell,Latitude 5440,Omaha,"December 29, 2020",1249,36,ASSIGNED,
IT-3413,DE66369024,Dock,Dell,WD19S,Denver HQ,28-Mar-2021,229.00,none,Disposed,Destroyed 2026-02-06
IT-004543,HP54776770,Laptop,HP,EliteBook 840,Denver HQ,2020-01-23,"1,329.00",36 months,assigned,
IT-000527,AP94263922,Phone,Apple,iPhone 15,Denver,02/19/2023,799.00,1 yr,ASSIGNED,
IT-1215,LE28521762,Dock,Lenovo,ThinkPad USB-C Dock,omaha,2025-07-02,$249.00,,assigned,
IT-003155,DE75768492,Monitor,Dell,P2723DE,SLC,12/17/2021,$389.00,36 months,Disposed,Sold 2023-02-14
3543,LE68682214,Dock,Lenovo,ThinkPad USB-C Dock,Salt Lake City,12/30/21,$249.00,none,ASSIGNED,
IT-002665,DE56058876,Monitor,Dell,P2723DE,Boise ,2021-12-17,389,36 months,ASSIGNED,
003187,HP98848987,Laptop,HP,EliteBook 840,omaha,02/19/26,"1,329.00",3 years,assigned,
IT-932,DE17010322,Monitor,Dell,P2723DE,Omaha,07/13/23,389,3 years,in repair,
IT-002116,HP19456399,Laptop,HP,EliteBook 840,salt lake city,24-Jul-2019,"$1,329.00",3 yr,DISPOSED,Donated 2026-02-12
IT-002081,HP47359474,Laptop,HP,EliteBook 840,Denver,28-Jun-2025,"$1,329.00",36,IN STOCK,
IT-001353,LG84766530,Monitor,LG,27UP850,Denver,05/13/2020,449.00,12,In stock,
